"pr152,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.02,generations:500,runtime:4.0677361488342285"
Generation,Min Distance,Avg Distance
50,648193.4131285746,690337.746981636
100,612205.7700930225,649594.8174379404
150,594708.0390521105,632038.5440130658
200,570931.5656418629,614784.5172228415
250,560420.1955230238,609382.712442332
300,580713.332215528,617501.1674149757
350,555694.6710421359,594288.9912889617
400,529845.1674401358,581705.1589138471
450,510309.8449248267,561950.516351182
500,501541.7558007098,546728.6899268184
