"rat99,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.01,generations:1000,runtime:6.060991525650024"
Generation,Min Distance,Avg Distance
100,3672.876897406543,3894.0472951248644
200,3134.9562602250085,3320.5774470593483
300,2879.272940502147,3087.710142411016
400,2703.923591374028,2946.050325551158
500,2470.7288484018477,2785.403942818399
600,2370.860134962281,2592.2190638556494
700,2312.92128559009,2533.7967742880783
800,2284.1633113557273,2468.3237528772006
900,2234.3480319715386,2477.544874440242
1000,2223.194212707961,2514.791264152059
